member_id,month,center,plan,price_paid,signup_date,acquisition_channel,tenure_months,visits_this_month,group_classes_attended,uses_app,has_personal_trainer,cost_to_serve,status,churn_reason
M0001,2022-01,westfield,premium,44.1,2020-07-27,corporate,18,19,6,True,False,26.02,active,
M0001,2022-02,westfield,premium,44.1,2020-07-27,corporate,19,18,4,True,False,22.39,active,
M0001,2022-03,westfield,premium,44.1,2020-07-27,corporate,20,15,5,True,False,21.29,active,
M0001,2022-04,westfield,premium,44.1,2020-07-27,corporate,21,21,4,True,False,24.83,active,
M0001,2022-05,westfield,premium,44.1,2020-07-27,corporate,22,20,5,True,False,25.45,active,
M0001,2022-06,westfield,premium,44.1,2020-07-27,corporate,23,20,6,True,False,27.04,active,
M0001,2022-07,westfield,premium,44.1,2020-07-27,corporate,24,13,2,True,False,14.27,active,
M0001,2022-08,westfield,premium,44.1,2020-07-27,corporate,25,16,5,True,False,22.53,active,
M0001,2022-09,westfield,premium,44.1,2020-07-27,corporate,26,16,5,True,False,22.4,active,
M0001,2022-10,westfield,premium,44.1,2020-07-27,corporate,27,19,5,True,False,24.44,active,
M0001,2022-11,westfield,premium,44.1,2020-07-27,corporate,28,19,5,True,False,24.73,active,
M0001,2022-12,westfield,premium,44.1,2020-07-27,corporate,29,19,5,True,False,24.35,active,
M0001,2023-01,westfield,premium,44.1,2020-07-27,corporate,30,20,6,True,False,27.01,active,
M0001,2023-02,westfield,premium,44.1,2020-07-27,corporate,31,18,4,True,False,22.67,active,
M0001,2023-03,westfield,premium,44.1,2020-07-27,corporate,32,19,6,True,False,25.81,active,
M0001,2023-04,westfield,premium,44.1,2020-07-27,corporate,33,17,5,True,False,22.21,active,
M0001,2023-05,westfield,premium,44.1,2020-07-27,corporate,34,17,6,True,False,24.3,active,
M0001,2023-06,westfield,premium,44.1,2020-07-27,corporate,35,17,4,True,False,21.15,active,
M0001,2023-07,westfield,premium,44.1,2020-07-27,corporate,36,13,5,True,False,20.78,active,
M0001,2023-08,westfield,premium,44.1,2020-07-27,corporate,37,15,5,True,False,21.37,active,
M0001,2023-09,westfield,premium,44.1,2020-07-27,corporate,38,19,6,True,False,25.87,active,
M0001,2023-10,westfield,premium,44.1,2020-07-27,corporate,39,20,7,True,False,29.28,active,
M0001,2023-11,westfield,premium,44.1,2020-07-27,corporate,40,19,6,True,False,26.62,active,
M0001,2023-12,westfield,premium,44.1,2020-07-27,corporate,41,18,5,True,False,24.48,active,
M0001,2024-01,westfield,premium,44.1,2020-07-27,corporate,42,18,6,True,False,25.67,active,
M0001,2024-02,westfield,premium,44.1,2020-07-27,corporate,43,20,6,True,False,26.42,active,
M0001,2024-03,westfield,premium,44.1,2020-07-27,corporate,44,18,6,True,False,25.27,active,
M0001,2024-04,westfield,premium,44.1,2020-07-27,corporate,45,20,6,True,False,27.06,active,
M0001,2024-05,westfield,premium,44.1,2020-07-27,corporate,46,20,6,True,False,26.94,active,
M0001,2024-06,westfield,premium,44.1,2020-07-27,corporate,47,18,6,True,False,25.12,active,
M0001,2024-07,westfield,premium,44.1,2020-07-27,corporate,48,16,3,True,False,18.12,active,
M0001,2024-08,westfield,premium,44.1,2020-07-27,corporate,49,15,6,True,False,23.06,active,
M0001,2024-09,westfield,premium,44.1,2020-07-27,corporate,50,18,5,True,False,24.42,active,
M0001,2024-10,westfield,premium,44.1,2020-07-27,corporate,51,20,5,True,False,25.25,active,
M0001,2024-11,westfield,premium,44.1,2020-07-27,corporate,52,18,6,True,False,24.75,active,
M0001,2024-12,westfield,premium,44.1,2020-07-27,corporate,53,20,5,True,False,25.52,active,
M0002,2022-01,westfield,family,69.0,2021-09-21,walk_in,4,5,5,True,True,47.38,active,
M0002,2022-02,westfield,family,69.0,2021-09-21,walk_in,5,4,5,True,True,46.17,active,
M0002,2022-03,westfield,family,69.0,2021-09-21,walk_in,6,5,4,True,True,44.6,active,
M0002,2022-04,westfield,family,69.0,2021-09-21,walk_in,7,6,5,True,True,47.75,active,
M0002,2022-05,westfield,family,69.0,2021-09-21,walk_in,8,5,4,True,True,44.8,active,
M0002,2022-06,westfield,family,69.0,2021-09-21,walk_in,9,5,5,True,True,46.51,active,
M0002,2022-07,westfield,family,69.0,2021-09-21,walk_in,10,0,4,True,True,38.26,active,
M0002,2022-08,westfield,family,69.0,2021-09-21,walk_in,11,2,4,True,True,40.43,active,
M0002,2022-09,westfield,family,69.0,2021-09-21,walk_in,12,4,5,True,True,45.55,active,
M0002,2022-10,westfield,family,69.0,2021-09-21,walk_in,13,4,6,True,True,47.87,active,
M0002,2022-11,westfield,family,69.0,2021-09-21,walk_in,14,5,4,True,True,43.91,active,
M0002,2022-12,westfield,family,69.0,2021-09-21,walk_in,15,6,5,True,True,47.86,active,
M0002,2023-01,westfield,family,69.0,2021-09-21,walk_in,16,4,4,True,True,42.53,active,
M0002,2023-02,westfield,family,69.0,2021-09-21,walk_in,17,4,5,True,True,46.27,active,
M0002,2023-03,westfield,family,69.0,2021-09-21,walk_in,18,3,5,True,True,44.27,active,
M0002,2023-04,westfield,family,69.0,2021-09-21,walk_in,19,7,4,True,True,46.52,active,
M0002,2023-05,westfield,family,69.0,2021-09-21,walk_in,20,6,6,True,True,50.34,active,
M0002,2023-06,westfield,family,69.0,2021-09-21,walk_in,21,6,4,True,True,46.38,active,
M0002,2023-07,westfield,family,69.0,2021-09-21,walk_in,22,5,3,True,True,41.67,active,
M0002,2023-08,westfield,family,69.0,2021-09-21,walk_in,23,5,5,True,True,47.17,active,
M0002,2023-09,westfield,family,69.0,2021-09-21,walk_in,24,4,4,True,True,42.87,active,
M0002,2023-10,westfield,family,69.0,2021-09-21,walk_in,25,6,4,True,True,45.95,active,
M0002,2023-11,westfield,family,69.0,2021-09-21,walk_in,26,8,6,True,True,53.15,active,
M0002,2023-12,westfield,family,69.0,2021-09-21,walk_in,27,8,6,True,True,52.4,active,
M0002,2024-01,westfield,family,69.0,2021-09-21,walk_in,28,4,6,True,True,48.99,active,
M0002,2024-02,westfield,family,69.0,2021-09-21,walk_in,29,6,6,True,True,50.7,active,
M0002,2024-03,westfield,family,69.0,2021-09-21,walk_in,30,4,6,True,True,48.69,active,
M0002,2024-04,westfield,family,69.0,2021-09-21,walk_in,31,5,5,True,True,46.89,active,
M0002,2024-05,westfield,family,69.0,2021-09-21,walk_in,32,3,6,True,True,46.54,active,
M0002,2024-06,westfield,family,69.0,2021-09-21,walk_in,33,5,5,True,True,46.94,active,
M0002,2024-07,westfield,family,69.0,2021-09-21,walk_in,34,5,5,True,True,46.91,active,
M0002,2024-08,westfield,family,69.0,2021-09-21,walk_in,35,9,4,True,True,48.46,active,
M0002,2024-09,westfield,family,69.0,2021-09-21,walk_in,36,5,6,True,True,49.64,active,
M0002,2024-10,westfield,family,69.0,2021-09-21,walk_in,37,4,6,True,True,48.42,active,
M0002,2024-11,westfield,family,69.0,2021-09-21,walk_in,38,6,6,True,True,50.72,active,
M0002,2024-12,westfield,family,69.0,2021-09-21,walk_in,39,5,5,True,True,46.33,active,
M0003,2022-01,downtown,basic,29.0,2021-11-26,walk_in,2,6,4,False,True,32.06,active,
M0003,2022-02,downtown,basic,29.0,2021-11-26,walk_in,3,4,1,False,True,25.64,active,
M0003,2022-03,downtown,basic,29.0,2021-11-26,walk_in,4,6,3,False,True,30.24,active,
M0003,2022-04,downtown,basic,29.0,2021-11-26,walk_in,5,7,2,False,True,29.55,active,
M0003,2022-05,downtown,basic,29.0,2021-11-26,walk_in,6,5,2,False,True,27.67,active,
M0003,2022-06,downtown,basic,29.0,2021-11-26,walk_in,7,5,3,False,True,29.11,active,
M0003,2022-07,downtown,basic,29.0,2021-11-26,walk_in,8,3,2,False,True,26.19,active,
M0003,2022-08,downtown,basic,29.0,2021-11-26,walk_in,9,3,2,False,True,26.64,active,
M0003,2022-09,downtown,basic,29.0,2021-11-26,walk_in,10,7,2,False,True,29.1,active,
M0003,2022-10,downtown,basic,29.0,2021-11-26,walk_in,11,3,3,False,True,28.87,active,
M0003,2022-11,downtown,basic,29.0,2021-11-26,walk_in,12,5,1,False,True,26.41,active,
M0003,2022-12,downtown,basic,29.0,2021-11-26,walk_in,13,3,3,False,True,28.71,active,
M0003,2023-01,downtown,basic,29.0,2021-11-26,walk_in,14,7,2,False,True,29.11,churned,competitor
M0004,2022-01,westfield,premium,49.0,2020-09-27,referral,16,14,5,True,False,22.04,active,
M0004,2022-02,westfield,premium,49.0,2020-09-27,referral,17,13,3,True,False,16.64,active,
M0004,2022-03,westfield,premium,49.0,2020-09-27,referral,18,16,3,True,False,18.92,active,
